x,y,err
5.0,0.602,
8.3,0.3,
11.6,0.149,
14.9,0.1024,
18.2,0.0743,
21.5,0.0523,
24.8,0.0398,
28.1,0.0312,
31.4,0.0255,
34.7,0.02116,
38.0,0.01837,
41.3,0.01526,
44.6,0.01343,
47.9,0.01147,
51.2,0.00992,
54.5,0.00884,
