theta_deg,intensity
0,1.20
5,0.23
10,1.70
15,5.40
20,13.05
25,20.00
30,31.50
35,45.00
40,56.75
45,74.50
50,86.75
55,101.00
60,112.90
65,125.25
70,139.00
75,150.90
80,158.25
85,163.75
90,166.75
95,168.15
100,165.50
