theta_deg,intensity
0,149.5
5,130.0
10,104.25
15,84.0
20,65.0
25,43.5
30,30.0
35,17.6
40,7.8
45,2.5
50,0.55
55,0.8
60,4.55
65,10.35
70,22.9
75,33.3
80,55.45
