theta_deg,intensity
0,22.65
5,15.20
10,7.47
15,2.82
20,0.80
25,0.55
30,2.26
35,5.65
40,11.90
45,21.05
50,26.75
55,37.85
60,50.75
65,58.20
70,73.00
75,85.05
80,93.00
85,102.00
90,112.65
95,130.65
100,135.15
105,139.5
110,139.75
